date;errorcode;nb
12072021;24;61250
12072021;0;49935
12072021;8;6948
12072021;17;199
12072021;2;154
12072021;15;72
12072021;51;8
12072021;57;6
12072021;23;2
13072021;0;721926
13072021;10;12741
13072021;2;839
13072021;1;355
13072021;17;250
13072021;8;21
13072021;5;19
13072021;40;3
13072021;4;2
13072021;24;2
13072021;21;1
13072021;15;1
14072021;0;159271
14072021;24;86135
14072021;8;32581
14072021;17;1479
14072021;15;1194
14072021;2;394
14072021;51;289
14072021;23;120
14072021;53;16
14072021;57;15
14072021;10;1
15072021;24;35278
15072021;0;192
15072021;8;74
15072021;17;68
15072021;15;65
15072021;23;3
15072021;2;2
16072021;0;40
16072021;4;1
17072021;0;18
18072021;0;2
19072021;0;11
20072021;0;6
21072021;0;837526
21072021;17;512
21072021;2;291
21072021;1;199
21072021;10;23
21072021;8;3
21072021;5;2
21072021;52;1
22072021;0;2059713
22072021;17;2421
22072021;8;1506
22072021;15;1421
22072021;2;884
22072021;24;690
22072021;1;662
22072021;23;479
22072021;51;76
22072021;5;59
22072021;10;13
22072021;57;10
22072021;3;3
22072021;53;2
22072021;40;2
23072021;0;3050768
23072021;24;48942
23072021;8;6122
23072021;17;4732
23072021;15;4061
23072021;2;2580
23072021;23;928
23072021;1;425
23072021;51;189
23072021;53;71
23072021;5;33
23072021;10;21
23072021;57;13
23072021;40;5
23072021;3;2
23072021;16;2
24072021;0;2558801
24072021;24;136189
24072021;8;7559
24072021;17;5980
24072021;15;5207
24072021;2;1185
24072021;23;994
24072021;1;385
24072021;51;215
24072021;53;115
24072021;5;45
24072021;10;15
24072021;57;9
24072021;218;8
24072021;40;1
25072021;0;2288504
25072021;24;56617
25072021;8;5932
25072021;17;5115
25072021;15;4916
25072021;2;1041
25072021;23;884
25072021;1;307
25072021;51;178
25072021;53;77
25072021;57;21
25072021;10;18
25072021;5;6
25072021;40;1
25072021;3;1
26072021;0;2626371
26072021;24;43827
26072021;8;5917
26072021;17;5345
26072021;15;4930
26072021;2;1789
26072021;23;904
26072021;1;473
26072021;51;195
26072021;53;106
26072021;4;96
26072021;5;33
26072021;57;19
26072021;10;15
26072021;3;4
26072021;48;2
26072021;40;2
26072021;67;1
26072021;16;1
27072021;0;2644561
27072021;24;48924
27072021;8;6470
27072021;17;5740
27072021;15;5341
27072021;2;1911
27072021;23;920
27072021;10;499
27072021;1;495
27072021;51;180
27072021;53;91
27072021;5;52
27072021;4;46
27072021;57;15
27072021;218;5
27072021;48;3
27072021;3;1
28072021;0;2647786
28072021;24;48228
28072021;8;6320
28072021;17;5592
28072021;15;5072
28072021;2;1961
28072021;23;920
28072021;1;644
28072021;51;189
28072021;10;85
28072021;53;83
28072021;5;42
28072021;4;23
28072021;57;17
28072021;40;2
28072021;3;1
29072021;0;2778293
29072021;24;47014
29072021;8;6233
29072021;17;5766
29072021;15;5261
29072021;2;2117
29072021;23;913
29072021;1;689
29072021;51;232
29072021;10;89
29072021;53;77
29072021;5;54
29072021;57;17
29072021;4;13
29072021;40;1
29072021;3;1
30072021;0;2981729
30072021;24;53605
30072021;8;6766
30072021;17;5885
30072021;15;5370
30072021;2;2271
30072021;23;1008
30072021;1;726
30072021;51;215
30072021;10;150
30072021;53;76
30072021;5;37
30072021;57;18
30072021;4;17
30072021;48;3
30072021;40;2
30072021;35;2
30072021;3;1
30072021;16;1
31072021;0;2651249
31072021;24;82170
31072021;8;6784
31072021;17;6367
31072021;15;5422
31072021;10;3277
31072021;2;1215
